2025-05-21 10:00:11 WARNING [selenium.webdriver.common.selenium_manager:138] The chromedriver version (135.0.7049.84) detected in PATH at D:\python\Scripts\chromedriver.exe might not be compatible with the detected chrome version (136.0.7103.114); currently, chromedriver 136.0.7103.94 is recommended for chrome 136.*, so it is advised to delete the driver in PATH and retry
2025-05-21 10:00:13 INFO [conftest:19] 夹具初始化完成，浏览器启动成功
2025-05-21 10:00:13 INFO [test_case:15] 浏览器已启动
2025-05-21 10:00:13 INFO [testcases.test_basepage:61] 准备登录
2025-05-21 10:00:13 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//input[@id='username']"
2025-05-21 10:00:16 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:00:17 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//input[@id='password']"
2025-05-21 10:00:17 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:00:17 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='clApp']/div/div[1]/div[2]/div[2]/div/div/form/div[4]/div/div/div/button/span[1]"
2025-05-21 10:00:17 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:00:37 INFO [testcases.test_basepage:109] 登录成功
2025-05-21 10:00:37 INFO [test_case:24] 登录成功
2025-05-21 10:00:37 INFO [testcases.test_basepage:204] 准备发送常量短信
2025-05-21 10:00:37 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[1]/div/div/div/div/div[3]/div/a[1]"
2025-05-21 10:00:39 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:00:39 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[2]/div/div/div[1]/div/div[3]/button/span"
2025-05-21 10:00:44 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:00:44 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[2]/div[2]/div/div/div/div[3]/button/span[2]"
2025-05-21 10:00:45 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:00:45 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input"
2025-05-21 10:00:45 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:00:45 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-content']//span[text()='确 定']"
2025-05-21 10:00:45 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:00:49 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[4]/div[2]/div/div/div[1]/div[1]/div/div[2]/div/span[2]"
2025-05-21 10:00:49 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:00:49 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input[@placeholder='请输入模板内容']"
2025-05-21 10:00:49 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:00:49 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[@class='anticon']"
2025-05-21 10:00:49 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:00:52 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-table-body']//a"
2025-05-21 10:00:53 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:00:56 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[8]/div/div/div/div/div[2]/button/span"
2025-05-21 10:00:56 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:00:56 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[text()='立即发送']"
2025-05-21 10:01:01 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:01:01 INFO [testcases.test_basepage:223] 发送常量短信完成
2025-05-21 10:02:33 INFO [testcases.test_basepage:204] 准备发送常量短信
2025-05-21 10:02:34 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[1]/div/div/div/div/div[3]/div/a[1]"
2025-05-21 10:02:36 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:02:36 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[2]/div/div/div[1]/div/div[3]/button/span"
2025-05-21 10:02:37 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:37 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[2]/div[2]/div/div/div/div[3]/button/span[2]"
2025-05-21 10:02:38 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:38 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input"
2025-05-21 10:02:38 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:02:39 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-content']//span[text()='确 定']"
2025-05-21 10:02:39 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:42 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[4]/div[2]/div/div/div[1]/div[1]/div/div[2]/div/span[2]"
2025-05-21 10:02:42 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:42 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input[@placeholder='请输入模板内容']"
2025-05-21 10:02:43 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:02:44 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[@class='anticon']"
2025-05-21 10:02:44 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:47 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-table-body']//a"
2025-05-21 10:02:47 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:02:50 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[8]/div/div/div/div/div[2]/button/span"
2025-05-21 10:02:51 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:51 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[text()='立即发送']"
2025-05-21 10:02:53 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:53 INFO [testcases.test_basepage:223] 发送常量短信完成
2025-05-21 10:04:25 INFO [testcases.test_basepage:204] 准备发送常量短信
2025-05-21 10:04:26 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[1]/div/div/div/div/div[3]/div/a[1]"
2025-05-21 10:04:28 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:04:29 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[2]/div/div/div[1]/div/div[3]/button/span"
2025-05-21 10:04:30 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:30 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[2]/div[2]/div/div/div/div[3]/button/span[2]"
2025-05-21 10:04:31 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:31 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input"
2025-05-21 10:04:31 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:04:31 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-content']//span[text()='确 定']"
2025-05-21 10:04:32 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
